fbtime,title,company,experence,gzdd,zwyx,totalnum
2017-09-20 10:26:17,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:30,Java开发高级工程师（5年以上大牛）,北京轩慧国信科技有限公司 ,5-10年,北京,16000-22000元/月 ,2 
2017-09-20 10:31:38,软件Java测试工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:28:26,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:28:26,Java软件开发实习生,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:26:17,转互联网Java软件开发程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:26:17,初级Java软件开发工程师,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,35 
2017-09-19 16:29:31,JAVA开发工程师,北京复华卓越商业管理有限公司 ,5-10年,北京,15000-30000元/月 ,1 
2017-09-20 10:26:24,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:31:38,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:38,初级Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:38,Java/C/C++软件工程师／大数据开发,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:38,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:16:54,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:19:32,转互联网Java软件开发程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:06:38,高级JAVA开发工程师,北京一点科研网络技术有限公司 ,3-5年,北京,15000-25000元/月 ,2 
2017-09-20 09:48:23,开发部4初级Java软件开发工程师,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,30 
2017-09-20 09:48:15,开发部4Java软件开发中级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:48:23,开发部4JAVA软件工程师中高级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:48:23,开发部4Java软件开发初级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,30 
2017-09-20 09:48:15,开发部4Java软件开发工程师初级 高级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,30 
2017-09-20 09:48:23,开发部4JAVA高级软件工程师,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:48:15,开发部4Java软件开发工程师,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:46:20,开发部3Java软件开发工程师安卓,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,30 
2017-09-20 09:48:23,开发部4Java中级软件工程师,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:46:14,开发部三Java软件开发工程师B/S,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:48:23,开发部4Java软件工程师高级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,26 
2017-09-20 09:48:19,JAVA工程师,北京金信润天信息技术股份有限公司 ,不限,北京,10001-15000元/月 ,10 
2017-09-20 09:54:52,开发部5Java程序员,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-20 13:32:15,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,16 
2017-09-20 09:54:42,开发部5高级JAVA开发工程师,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,10001-15000元/月 ,20 
2017-09-20 09:54:52,开发部5互联网Java软件开发pc端,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,30 
2017-09-20 09:54:52,开发部5Java软件开发高级,阁瑞钛伦特软件(北京)有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-14 17:26:52,招聘软件专业 ★应届生实习 ★0基础培养JAVA★ 包住宿,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,20 
2017-08-23 13:56:20,高薪直招java工程师,华锐祥博(北京)科技有限公司 ,无经验,北京,8001-10000元/月 ,30 
2017-09-15 16:03:08,开发部二 java开发工程师+五险一金,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-18 14:18:16,研发一招Java软件研发实训生06,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,16 
2017-09-20 16:39:55,高级java开发工程师,北京高阳捷迅信息技术有限公司,5-10年,北京,15000-25000元/月 ,1 
0002-01-01 00:00:00,Java研发经理,地利农产品投资控股有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-16 10:48:45,高级Java研发工程师,北京雪扬科技有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-20 13:33:15,初级Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,16 
2017-09-14 18:00:09,高级JAVA开发工程师,"易金卡网络技术有限公司 eChinaCash Network Technology Co.,Ltd(US-incorporated)",5-10年,北京,16000-28000元/月 ,2 
2017-09-18 09:37:41,java开发工程师,北京指掌易科技有限公司 ,3-5年,北京,10000-20000元/月 ,10 
2017-09-18 13:46:11,JAVA工程师,京西商业保理有限公司 ,3-5年,北京,8000-16000元/月 ,3 
2017-08-17 10:19:00,急聘Java软件开发工程师,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,40 
2017-09-09 16:39:14,java,北京华正方圆科技发展有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-11 15:03:30,高级Java开发工程师,安投融(北京)网络科技有限公司 ,5-10年,北京,20001-30000元/月 ,2 
2017-09-11 15:03:30,中级Java开发工程师,安投融(北京)网络科技有限公司 ,3-5年,北京,10000-15000元/月 ,2 
2017-09-15 17:38:53,JAVA高级开发工程师,壹壹金融信息服务(北京)有限公司,3-5年,北京,15001-20000元/月 ,3 
2017-09-18 17:36:34,零基础急招Java软件开发实训生包住宿就业,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-15 18:01:25,Java开发工程师,国政通科技股份有限公司 ,3-5年,北京,10001-15000元/月 ,1 
0002-01-01 00:00:00,java开发实习生包住,北京瑞明恒通科技有限公司 ,不限,北京,8001-10000元/月 ,5 
2017-09-18 17:36:34,5，企业直招java开发工程师（包住+8k）接收应届生,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-14 17:33:58,Java软件开发实习生零基础 互联网8K包住,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-15 09:33:04,java开发工程师,北京飞牛在天科技有限公司 ,不限,北京,12000-20000元/月 ,1 
2017-09-18 09:22:20,研发部二 8k招Java初级程序员,华锐祥博(北京)科技有限公司 ,不限,北京,10001-15000元/月 ,12 
2017-09-13 16:42:27,开发2部170 应届生java实习就业平台,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,15 
2017-09-13 16:42:27,开发2部 Java编程实习生+五险一金+包住宿,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,15 
2017-09-17 08:30:02,研发三部  JAVA软件开发实习生转正8千起薪,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,17 
2017-09-17 10:40:00,开发1部489 Java企业级定岗定责实习内训生,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,15 
2017-09-18 09:22:20,研发一诚聘Java初级开发工程师 包住宿06,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,19 
2017-09-17 10:40:00,开发5部Java大数据开发定岗生 826,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-11 15:24:11,JAVA开发工程师,人人公司（Renren Inc．） ,3-5年,北京,10000-20000元/月 ,1 
2017-09-18 09:45:05,研发三部急招JAVA开发工程师,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-18 10:47:03,互联网Java工程师,中信恒达支付有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-18 13:14:06,研发部二 诚聘Java程序员高福利,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,8 
2017-09-13 09:48:14,高级Java开发工程师,北京中德福林软件科技有限公司 ,5-10年,北京,15000-25000元/月 ,5 
2017-09-15 14:51:47,高级java开发工程师,北京思源互联科技有限公司 ,5-10年,北京,18000-25000元/月 ,1 
2017-09-19 09:50:00,java开发人员+8K+提供住宿,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-13 09:48:02,中高级Java开发,北京中德福林软件科技有限公司 ,3-5年,北京,8000-15000元/月 ,20 
2017-09-20 13:39:16,java后台开发,北京尖峰创游科技有限公司 ,1-3年,北京,8000-10000元/月 ,1 
2017-09-13 14:09:33,JAVA开发工程师,众巢医学科技(上海)股份有限公司 ,3-5年,北京,15000-17000元/月 ,1 
2017-09-15 09:17:37,中级JAVA工程师,北京恒善信诚科技有限公司 ,3-5年,北京,10001-15000元/月 ,1 
0002-01-01 00:00:00,高级Java开发,北京中德福林软件科技有限公司 ,5-10年,北京,15001-20000元/月 ,5 
2017-09-18 15:16:11,JAVA高级工程师,北京掌上新城信息技术有限公司 ,3-5年,北京,18000-30000元/月 ,1 
2017-09-15 11:40:06,JAVA WEB高级软件工程师+3年经验（望京）,北京万仑科技有限公司 ,3-5年,北京,10000-20000元/月 ,3 
2017-09-19 17:27:14,4-6K诚招JAVA实习生,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,4 
2017-09-20 10:19:32,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:16:54,初级Java软件开发工程师,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,1 
2017-09-20 10:16:54,Java软件开发工程师,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,1 
2017-09-20 10:16:47,转互联网Java软件开发程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:16:47,Java软件开发实习生,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:16:47,金融软Java程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:16:47,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:19:38,金融软Java程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:38,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:19:38,Java软件开发实习生,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,35 
2017-09-20 10:13:34,JAVA软件开发程序员,中瑞华科(北京)科技有限公司 ,不限,北京,4500-8000元/月 ,9 
2017-09-20 10:12:20,初级Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,金融软件Java程序员,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,Java软件开发实习生,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:20,Java/C/C++软件工程师／大数据开发,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:14,软件Java测试工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-20 10:12:14,转互联网Java软件开发程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,1 
2017-09-15 17:18:06,Java高级工程师,东华光普大数据技术有限公司 ,5-10年,北京,20001-30000元/月 ,1 
2017-09-13 12:05:22,java高级工程师,宝驾出行(北京)科技有限公司 ,5-10年,北京,20001-30000元/月 ,5 
2017-09-17 16:47:40,Java工程师,北京再来人华来荣信息技术有限公司 ,3-5年,北京,12000-18000元/月 ,1 
2017-09-20 13:29:12,Java/C/C++软件工程师／大数据开发,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,16 
2017-09-20 13:28:45,金融软Java程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,16 
2017-09-18 11:40:11,Java工程师,广州普及网络科技有限公司北京分公司 ,3-5年,北京,15000-25000元/月 ,3 
2017-09-15 15:55:16,java后端开发工程师+无限晋升空间,尚德机构 ,1-3年,北京,10000-15000元/月 ,1 
2017-09-07 16:41:03,Java高级软件工程师,中科金审(北京)科技有限公司 ,5-10年,北京,15000-30000元/月 ,13 
2017-09-07 16:41:03,JAVA软件工程师,中科金审(北京)科技有限公司 ,3-5年,北京,10001-15000元/月 ,5 
2017-09-20 10:36:11,高级JAVA工程师(微服务方向),国信慧丰(北京)科技发展有限公司 ,3-5年,北京,12000-18000元/月 ,5 
2017-09-17 22:04:48,Java开发工程师（外包）,北京神州新桥科技有限公司 ,3-5年,北京,10000-20000元/月 ,10 
2017-09-14 10:09:03,Java软件开发工程师,北京哥大诺博教育科技股份有限公司,不限,北京,10001-15000元/月 ,1 
2017-09-14 11:00:30,JAVA高级工程师(职位编号：ppw05),北京拍片乐科技有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-14 09:18:13,JAVA开发工程师,北京复华卓越商业管理有限公司 ,3-5年,北京,10000-20000元/月 ,1 
2017-09-20 10:36:06,搜索开发工程师(JAVA高级工程师),国信慧丰(北京)科技发展有限公司 ,3-5年,北京,13000-18000元/月 ,3 
2017-09-18 09:13:31,java开发工程师,北京代达衡通科技有限公司 ,5-10年,北京,10001-15000元/月 ,1 
2017-09-19 11:32:39,java软件工程师,奥瑞金包装股份有限公司,3-5年,北京,10001-15000元/月 ,2 
2017-09-20 09:00:00,java工程师,互腾(北京)科技有限公司 ,1-3年,北京,6000-9000元/月 ,1 
0002-01-01 00:00:00,JAVA开发,美团点评,3-5年,北京,面议 ,1 
2017-09-01 09:15:45,高级java工程师（网络运营部）(职位编号：xdf011541),北京新东方学校 ,1-3年,北京,10000-16000元/月 ,2 
0002-01-01 00:00:00,Java开发工程师,上海微创软件股份有限公司,不限,北京,8000-12000元/月 ,1 
2017-09-19 10:03:34,JAVA软件开发工程师,北京互伴网络科技有限公司 ,1-3年,北京,8001-10000元/月 ,1 
0002-01-01 00:00:00,java后端开发,京东集团 ,5-10年,北京,面议 ,1 
2017-09-13 11:15:41,Java开发工程师,北京世纪高通科技有限公司,1-3年,北京,8000-16000元/月 ,2 
2017-09-11 11:39:19,JAVA高级工程师,北京聚通达科技股份有限公司 ,5-10年,北京,13000-25000元/月 ,2 
2017-09-13 16:22:01,Java软件开发实习生/不限经验/,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,40 
2017-09-13 16:22:01,急聘急聘急聘Java软件开发方向无经验可实习,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-13 16:22:01,急聘java实习初级程序员,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,40 
2017-09-19 13:33:25,JAVA后端工程师,北京森馥科技股份有限公司 ,3-5年,北京,10000-15000元/月 ,1 
0002-01-01 00:00:00,java（安立路）,贝乐学科英语,3-5年,北京,15001-20000元/月 ,1 
2017-09-18 16:56:42,JAVA开发工程师,北京华正方圆科技发展有限公司 ,3-5年,北京,10001-15000元/月 ,10 
2017-09-18 13:46:03,JAVA中级开发工程师,京西商业保理有限公司 ,5-10年,北京,10000-20000元/月 ,1 
2017-09-14 09:54:15,Java开发工程师,北京有恒百加教育科技有限公司 ,5-10年,北京,15000-17000元/月 ,2 
2017-09-19 17:35:56,零基础JAVA实习生/学徒 双休,北京中软智信科技有限公司 ,1年以下,北京,4001-6000元/月 ,4 
2017-09-20 11:05:08,Web前端转JAVA开发（可实习）,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,5 
2017-09-19 17:36:28,JAVA初级工程师,北京中软智信科技有限公司 ,1年以下,北京,4001-6000元/月 ,3 
2017-09-18 17:01:13,华锐科技招JAVA安卓Web前端开发管住宿 周末双休,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,20 
2017-09-14 16:44:59,开发部二 Java软件开发实习生+五险一金,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-19 17:37:17,Java开发工程师实习生/学徒,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,5 
2017-09-17 10:50:00,8K招零基础java开发,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-17 10:50:00,高薪诚Java开发工程师,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-19 17:27:55,上市公司招JAVA实习生,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,4 
2017-09-15 16:38:52,高薪诚聘Java软件开发五险一金,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,20 
2017-09-18 14:46:11,JAVA工程师,九城网络技术集团有限公司,3-5年,北京,15001-20000元/月 ,1 
2017-09-15 17:26:45,Java高级工程师,中融永信(北京)金融服务外包有限公司 ,1年以下,北京,15001-20000元/月 ,1 
2017-09-15 11:37:30,研发部二 招聘Java实习生，无经验亦可,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,12 
2017-09-19 14:52:10,高级Java工程师,卡联科技集团股份有限公司,不限,北京,18000-30000元/月 ,2 
2017-09-14 16:56:33,研发一部 Java实习生+包住宿7k+五险一金97,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,18 
2017-09-15 15:39:20,项目组2 零基础Java工程师（Java/安卓）,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-15 11:37:30,研发1部诚招java开发程序员81,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-11 15:56:36,Java高级研发工程师,中企动力科技股份有限公司,3-5年,北京,15001-20000元/月 ,3 
2017-09-19 17:27:14,JAVA开发工程师,北京三品公道科技发展有限公司 ,3-5年,北京,8000-12000元/月 ,1 
2017-09-19 21:38:35,高级JAVA工程师,北京天泓伟业科技有限公司 ,3-5年,北京,10001-15000元/月 ,5 
